question_id,clusters
c1c0075239841777d5b01c40b38135d2,11
367edcb36424493a7cf80f70903a64cd,8
fb9e401d86f20205d97a25f3aad76a67,15
e153659c6c654cd12122232fca89f4bc,16
c1718491292fd44b9b33397d5e6a80ba,6
85f22d70bd58c56708e9c3b2769ff6ff,15
3461879e8b67f1f9e08882f7f1fd3db1,19
58695dc8b407850d8a028cec784f535c,11
39b402c90bda0ba4b5fe125ac865b442,10
8304fb2d94318d4768acf96acc707489,10
045d63aa705af89970233ea0f4855f44,7
f2d99c82fae25aa23e30d8811b6453a3,11
eabbd463e598c2665532339f039eeee8,14
d5d0ac13c7792fcca7811f640d5aaf48,11
37c19aa072ef1ae70f45b25657059f22,12
049bcb65090445c586b74b5f14c30f84,7
223077279b754599d41994dab0673ef6,11
a0c6cff489ecb7a1cb91ecc41c3967b5,11
12ec0c518ce58df1a37c9d0295f74e25,19
27fd339c55c79ae3eaf45e2d610c4c9b,11
b701b6c75280cda4dab3ddd7cc34c86e,19
ceea516da5ea891db8c426d16cb4f3d8,19
addd35f2aa6ba98af38edec82ddba724,11
e0507f951f3d34c7f694b4055e5f093a,19
c7fe86dbfc4b7c5d30f36d80f8c26373,11
ba07e2ba9e9d31008843376593672638,12
8332c2886b58bc0ddf76ac1fb037a7ba,4
8ef816b4a565087c3467c670a2a24ea7,2
f92a82ede7e3a3cdce86b2099f218f05,1
78591d2d51706a90ca6fa5935d25cdfd,6
5a6d76c5506b58e775da14d30596fd69,5
509fa7773832ef1238630d9381b89230,16
5d0a6a4fa83d1bc08cdb1bf5ec980abc,6
a54618f2b35ac34bfae360b780b1aed3,7
dc5de016923af690760be19aa04ed4cb,4
f63fea6529ad4e98d9a2b6b2de78759e,8
3425a5a88a09481f1d8f30a6ea31c31e,19
a05e10a9a61182c20d833842d09420a8,4
25de0c0de1b8c990c5504169535ffb0d,15
b476bb1ac763555d7efa797ffb0a9cdd,11
613fb5f63f5cb4549bcf241fa2dde46e,6
48b14da7788b3005842bc457d40ebed3,14
dcbbc23d0cae3b30649b57a5cb1c5c55,11
c6de9a3c7554ba30184032daad23eefa,19
c04c9129a9d7e59e8f837bc0e7834dbd,10
158575b759fcbc234207accdb4d73945,11
0e8fce62e883b842bc549d5dc10df0e6,11
